Timestamp: 2024-03-21T07:22:30.493Z, Maker Highest Bid: 9069.5, Taker Lowest Ask: 67244.57, Profitability: 6.414363526103975, Maker Latency: 293ms, Taker Latency: 319ms
Timestamp: 2024-03-21T07:22:30.493Z, Maker Highest Bid: 9069.5, Taker Lowest Ask: 67247.74, Profitability: 6.414713049230939, Maker Latency: 293ms, Taker Latency: 565ms
Timestamp: 2024-03-21T07:22:30.613Z, Maker Highest Bid: 9069.5, Taker Lowest Ask: 67246.99, Profitability: 6.414630354484812, Maker Latency: 293ms, Taker Latency: 108ms
Timestamp: 2024-03-21T07:22:30.756Z, Maker Highest Bid: 9069.5, Taker Lowest Ask: 67246.99, Profitability: 6.414630354484812, Maker Latency: 152ms, Taker Latency: 108ms
Timestamp: 2024-03-21T07:22:30.944Z, Maker Highest Bid: 9069.5, Taker Lowest Ask: 67247.24, Profitability: 6.414657919400188, Maker Latency: 152ms, Taker Latency: 63ms
Timestamp: 2024-03-21T07:22:31.605Z, Maker Highest Bid: 9069.5, Taker Lowest Ask: 67245.93, Profitability: 6.414513479243618, Maker Latency: 152ms, Taker Latency: 325ms
Timestamp: 2024-03-21T07:22:31.754Z, Maker Highest Bid: 9069.5, Taker Lowest Ask: 67245.93, Profitability: 6.414513479243618, Maker Latency: 92ms, Taker Latency: 325ms
Timestamp: 2024-03-21T07:22:32.088Z, Maker Highest Bid: 9069.5, Taker Lowest Ask: 67245.93, Profitability: 6.414513479243618, Maker Latency: 181ms, Taker Latency: 325ms
Timestamp: 2024-03-21T07:22:32.600Z, Maker Highest Bid: 9069.5, Taker Lowest Ask: 67244.1, Profitability: 6.414311704063069, Maker Latency: 181ms, Taker Latency: 189ms
Timestamp: 2024-03-21T07:22:32.746Z, Maker Highest Bid: 9069.5, Taker Lowest Ask: 67244.1, Profitability: 6.414311704063069, Maker Latency: 78ms, Taker Latency: 189ms
Timestamp: 2024-03-21T07:22:33.270Z, Maker Highest Bid: 9069.5, Taker Lowest Ask: 67245.73, Profitability: 6.414491427311318, Maker Latency: 78ms, Taker Latency: 238ms
Timestamp: 2024-03-21T07:22:33.414Z, Maker Highest Bid: 9068, Taker Lowest Ask: 67245.73, Profitability: 6.4157179091310095, Maker Latency: 131ms, Taker Latency: 238ms
Timestamp: 2024-03-21T07:22:33.592Z, Maker Highest Bid: 9068, Taker Lowest Ask: 67279.93, Profitability: 6.419489413321569, Maker Latency: 131ms, Taker Latency: 133ms
Timestamp: 2024-03-21T07:22:34.255Z, Maker Highest Bid: 9068, Taker Lowest Ask: 67247.07, Profitability: 6.415865681517425, Maker Latency: 131ms, Taker Latency: 272ms
Timestamp: 2024-03-21T07:22:34.586Z, Maker Highest Bid: 9068, Taker Lowest Ask: 67279.93, Profitability: 6.419489413321569, Maker Latency: 131ms, Taker Latency: 335ms
Timestamp: 2024-03-21T07:22:34.733Z, Maker Highest Bid: 9068, Taker Lowest Ask: 67279.93, Profitability: 6.419489413321569, Maker Latency: 54ms, Taker Latency: 335ms
Timestamp: 2024-03-21T07:22:34.913Z, Maker Highest Bid: 9068, Taker Lowest Ask: 67244.34, Profitability: 6.415564622849581, Maker Latency: 54ms, Taker Latency: 73ms
Timestamp: 2024-03-21T07:22:35.251Z, Maker Highest Bid: 9068, Taker Lowest Ask: 67244.34, Profitability: 6.415564622849581, Maker Latency: 54ms, Taker Latency: 176ms
